Barra,Tensao_pu,Angulo_graus
1144,0.9739,-5.2046
1145,0.7327,-25.6900
1146,0.8065,-23.3648
1147,0.8357,12.6168
1148,0.9285,-20.8473
1150,1.0140,-18.4686
1151,1.0300,-25.6080
1152,0.9990,-37.6686
1153,0.9826,-32.0944
1154,0.9789,-32.4770
1155,1.0020,-26.3943
1156,1.0070,-33.5178
1157,1.0100,-18.1244
1158,1.0180,-24.9284
1159,0.9890,-26.5210
1161,0.9679,-32.8791
1162,0.9700,0.0000
1163,0.9735,-34.0406
1164,0.9820,-52.7983
1165,0.9820,-52.7983
1166,0.9950,-30.0907
1168,0.9920,-29.3495
1169,0.9990,-37.7837
1173,1.0060,-29.2638
1174,0.9512,-33.4875
1175,1.0070,-32.0752
1176,1.0010,-28.1882
1177,1.0070,-34.7426
1178,0.8079,-35.4507
1181,0.9920,0.0000
1182,0.7914,-56.3310
1185,0.7977,-55.0974
1186,0.8074,-51.3104
1187,0.9313,-37.4491
1188,0.9064,-36.1963
1189,0.8858,-39.4206
1190,0.8873,-38.2527
1192,0.9492,-34.3952
1193,0.9334,-34.3952
1194,0.9084,-37.6119
1195,0.8821,-39.9824
1196,0.8971,-40.8644
1197,0.8799,-40.7704
1198,0.9083,-37.3178
1199,0.8943,-37.1344
1200,0.9443,-34.7024
1201,0.9236,-39.3696
1202,0.8868,-39.2895
1204,0.8083,-35.4015
1205,0.9289,-37.6222
1206,0.9391,-35.6833
1207,0.9281,-36.6572
1208,0.8895,-40.9421
1209,0.8861,-43.2056
1210,0.9036,-37.3468
1212,0.8904,-37.7261
1213,0.9813,-26.0261
1214,0.9727,-30.5104
1215,0.9747,-33.5178
1216,0.9517,-36.2463
1218,0.9149,-40.3106
1219,0.8646,-41.9811
1220,0.9500,-38.5605
1221,1.0212,-32.6164
1223,0.9573,-34.7426
1225,0.8370,-45.4849
1226,0.9503,-32.2405
1227,0.8690,-41.4173
1228,0.9694,-32.4364
1229,0.8838,-35.1815
1230,0.6967,-51.3431
1231,0.8951,-34.3260
1232,0.8837,-36.3042
1235,0.8184,-49.5430
1236,0.9022,-35.2951
1238,0.9233,-35.6430
1239,0.9510,-33.4977
1240,0.8851,-36.5610
1242,0.9486,-36.1287
1243,0.9744,-35.4771
1244,0.8784,-36.3042
1245,0.8858,-34.8154
1246,0.8985,-32.7627
1247,0.8873,-31.8532
1248,0.9079,-37.6686
1249,0.9060,-37.6276
1250,0.9796,-29.2746
1251,0.9533,-33.0682
1252,0.8715,-41.0752
1253,0.8467,-46.3540
1254,0.8633,-42.7569
1256,0.9268,-38.3193
1257,0.8716,-41.0591
1258,0.8911,-37.5410
1259,0.8878,-38.8522
1262,0.8732,-42.4682
1263,0.8893,-38.7705
1264,0.8889,-38.7893
1265,0.8674,-41.5862
1266,0.8705,-42.8916
1267,0.8871,-38.3032
1268,0.8875,-39.0365
1269,0.8731,-43.2517
1270,0.8831,-39.3199
1271,0.8711,-42.3126
1272,0.8705,-42.8916
1273,0.8853,-38.0759
1275,0.9623,-35.1850
1276,0.8792,-42.5062
1277,0.9521,-36.0362
1278,0.8694,-40.5649
1279,0.9828,-37.4591
1281,0.9751,-33.6472
1282,0.9647,-33.2333
1283,0.9725,-29.2242
1284,0.9636,-36.9289
1285,0.8893,-28.8584
1286,0.8093,-48.1820
1287,0.9755,-33.2515
1288,0.9479,-26.0289
1289,0.7907,-54.3036
1290,0.9201,-44.1070
1291,0.9645,-36.6967
1292,0.9827,-40.1504
1294,0.8961,-52.7983
1295,0.8863,-56.6692
1296,0.8907,-53.0560
1297,0.8979,-38.4356
1298,0.8983,-41.2631
1299,0.9235,-38.7196
1300,0.9443,-39.2925
1301,0.9575,-39.3270
1302,0.9385,-36.9942
1303,0.8662,-41.5762
1304,0.8099,-44.5132
1305,0.9224,-44.6748
