Barra,Tensao_pu,Angulo_graus,Correcao_Tensao_QLIM_pu,Tipo_Barra
489,0.9991,-26.6887,0.000000,1
490,0.9991,-26.6889,0.000000,1
491,1.0032,-26.6051,0.000000,1
492,1.0025,-26.7491,0.000000,1
493,1.0113,-34.6872,0.000000,1
494,0.9922,-28.9060,0.000000,1
495,1.0004,-26.7702,0.000000,1
496,1.0183,-33.8807,0.000000,1
497,0.9891,-6.8615,0.000000,1
498,0.9779,-0.5071,0.000000,1
499,1.0929,-14.1004,0.000000,1
500,0.9647,10.0766,0.000000,2
501,0.9641,0.0000,0.000000,3
502,0.9500,10.9937,0.000000,2
503,0.9501,12.3932,0.000000,2
506,0.9501,-1.0448,0.000000,2
507,0.9501,17.1351,0.000000,2
508,0.9507,11.8658,0.000000,2
509,0.9512,10.8957,0.000000,2
510,0.9852,25.7764,0.000000,2
511,0.9736,18.8967,0.000000,2
512,0.9503,3.7288,0.000000,2
513,0.9502,19.0938,0.000000,2
514,0.9500,3.4467,0.000000,2
515,0.9501,-5.1262,0.000000,2
516,0.9500,-7.4684,0.000000,2
517,0.9501,-1.2193,0.000000,2
518,0.9500,4.9331,0.000000,2
519,0.9500,3.2069,0.000000,2
520,0.9500,9.0554,0.000000,2
521,0.9501,-2.3743,0.000000,2
522,0.9501,-3.6771,0.000000,2
523,0.9501,-5.4241,0.000000,2
524,0.9617,-5.2584,0.000000,2
525,0.9511,-26.0550,0.000000,2
526,1.0294,3.0498,0.000000,2
527,1.0002,-21.0521,0.000000,1
528,1.0223,-22.5792,0.000000,1
530,0.9843,4.3281,0.000000,1
531,0.9950,-0.0001,0.000000,2
532,1.0499,-24.3047,0.000000,2
533,1.0490,-21.5605,0.000000,2
535,1.0503,4.6040,0.000000,1
536,1.0077,4.4453,0.000000,1
537,1.0086,2.6841,0.000000,1
538,0.9950,-0.0001,0.000000,1
539,0.9836,4.4403,0.000000,1
540,0.9966,-6.9744,0.000000,1
541,0.9748,5.4041,0.000000,1
542,0.9869,2.5514,0.000000,1
543,0.9742,2.4550,0.000000,1
544,0.9930,18.6265,0.000000,1
545,0.9918,16.8118,0.000000,1
546,0.9854,11.9888,0.000000,1
547,0.9886,12.1055,0.000000,1
548,0.9811,9.1558,0.000000,1
549,0.9842,9.1629,0.000000,1
550,0.9872,6.6277,0.000000,1
551,1.0258,-2.4467,0.000000,1
552,1.0084,-0.9612,0.000000,1
554,0.9797,-2.6674,0.000000,1
555,0.9994,5.3547,0.000000,1
556,1.0088,-1.7310,0.000000,1
557,1.0015,5.2884,0.000000,1
559,1.0403,-12.2304,0.000000,1
560,1.0065,-15.8391,0.000000,1
561,1.0091,-11.0869,0.000000,1
562,1.0266,-13.2460,0.000000,1
563,1.0150,-9.4486,0.000000,1
564,1.0042,-11.8810,0.000000,1
565,1.0200,-18.0551,0.000000,1
566,1.0148,-19.6081,0.000000,1
567,1.0160,-18.4793,0.000000,1
568,1.0152,-22.0916,0.000000,1
570,1.0129,-18.8343,0.000000,1
571,1.0266,-22.5475,0.000000,1
572,1.0221,-8.1010,0.000000,1
573,1.0222,-17.9859,0.000000,1
574,1.0121,-20.2085,0.000000,1
575,1.0109,-24.1016,0.000000,1
576,1.0079,-23.8708,0.000000,1
577,1.0232,-20.5931,0.000000,1
578,0.9748,5.3451,0.000000,1
579,0.9748,5.3415,0.000000,1
580,1.0592,-1.7309,0.000000,1
581,1.0285,-24.3047,0.000000,1
582,0.9936,-24.9613,0.000000,1
583,1.0265,-27.8351,0.000000,1
584,0.9981,-21.6015,0.000000,1
585,1.0043,-22.3213,0.000000,1
586,1.0155,-23.1455,0.000000,1
587,1.0230,-21.0944,0.000000,1
588,1.0228,-22.9642,0.000000,1
589,1.0183,-17.9416,0.000000,1
590,1.0500,-23.1392,0.000000,1
591,1.0209,-23.5135,0.000000,1
593,1.0273,-21.5605,0.000000,1
594,0.9992,-21.5343,0.000000,1
595,1.0069,-21.8661,0.000000,1
596,1.0148,-10.2307,0.000000,1
597,1.0986,-11.0869,0.000000,1
598,1.0540,-11.1148,0.000000,1
599,0.9794,-7.3941,0.000000,1
600,0.9852,-12.0763,0.000000,1
601,1.0495,19.8204,0.000000,1
602,1.0006,-8.5590,0.000000,1
605,0.9967,-3.4798,0.000000,1
607,1.0216,-25.5058,0.000000,1
608,1.0133,-24.0610,0.000000,1
609,1.0577,-14.1004,0.000000,1
610,1.0316,-14.6549,0.000000,1
612,1.0045,-2.6562,0.000000,1
613,0.9978,0.8093,0.000000,1
614,0.9986,-4.9171,0.000000,2
615,1.0013,-2.8062,0.000000,1
616,1.0132,-3.9006,0.000000,1
618,0.9966,-6.0689,0.000000,1
620,1.0061,-7.7001,0.000000,1
621,1.0064,-11.7259,0.000000,1
622,1.0061,-13.2129,0.000000,1
623,1.0022,-11.8890,0.000000,1
624,1.0199,-12.8198,0.000000,1
625,1.0002,-9.0952,0.000000,1
626,0.9981,-11.2366,0.000000,1
627,1.0179,-10.2103,0.000000,1
629,0.9958,-7.6441,0.000000,1
633,0.9924,-10.8612,0.000000,1
634,0.9924,-10.8607,0.000000,1
635,0.9804,-12.5786,0.000000,1
636,0.9891,-14.3990,0.000000,1
638,0.9837,-9.3087,0.000000,1
639,0.9765,2.6482,0.000000,1
640,0.9881,3.0318,0.000000,1
641,0.9986,-4.9171,0.000000,1
642,0.9897,-1.7790,0.000000,1
643,0.9832,6.6872,0.000000,1
645,0.9821,-8.4531,0.000000,1
647,0.9792,2.0695,0.000000,1
648,0.9809,-0.3053,0.000000,1
649,0.9836,-2.8223,0.000000,1
652,1.0007,-2.7772,0.000000,1
654,0.9986,-3.0252,0.000000,1
655,0.9995,-4.3541,0.000000,1
657,0.9864,11.9773,0.000000,1
658,0.9855,11.9568,0.000000,1
659,0.9695,2.4034,0.000000,1
661,1.0003,-2.7200,0.000000,1
663,0.9816,0.0082,0.000000,1
665,1.0050,-10.4692,0.000000,1
666,0.9904,-3.2897,0.000000,1
667,1.0218,-2.6650,0.000000,1
668,0.9772,5.9654,0.000000,1
669,0.9799,-2.8196,0.000000,1
670,0.9884,3.3629,0.000000,1
671,0.9953,-3.7583,0.000000,1
672,0.9941,-3.2848,0.000000,1
673,0.9781,-0.7955,0.000000,1
674,1.0002,-6.4501,0.000000,1
681,1.0092,-26.0045,0.000000,1
682,0.9996,-22.7283,0.000000,1
683,0.9812,-7.3539,0.000000,1
687,0.9788,-8.6943,0.000000,1
689,0.9892,-13.0072,0.000000,1
692,1.0061,-22.1751,0.000000,1
693,0.9755,-9.4194,0.000000,1
694,1.0200,-23.2588,0.000000,1
695,1.0014,-19.8406,0.000000,1
696,1.0023,-20.6320,0.000000,1
697,1.0055,-21.4040,0.000000,1
698,1.0253,-24.3169,0.000000,1
699,0.9695,-17.8538,0.000000,1
701,1.0051,-21.9420,0.000000,1
703,0.9825,-20.1319,0.000000,1
705,1.0085,-9.7956,0.000000,1
709,0.9933,-22.4265,0.000000,1
712,0.9852,-10.3887,0.000000,1
715,1.0389,-26.0474,0.000000,1
718,0.9809,-0.7014,0.000000,1
719,1.0085,-9.7916,0.000000,1
720,0.9880,-28.6243,0.000000,1
721,1.0398,-26.0456,0.000000,1
722,1.0084,-36.5836,0.000000,1
725,0.9821,-17.5929,0.000000,1
730,0.9749,-15.2890,0.000000,1
732,0.9963,-24.2603,0.000000,1
734,0.9948,-23.8601,0.000000,1
741,0.9875,-7.4211,0.000000,1
742,1.0204,-8.3944,0.000000,1
743,1.0204,-8.3944,0.000000,1
744,1.0020,-29.8944,0.000000,1
746,0.9980,-30.5442,0.000000,1
747,1.0015,-26.0112,0.000000,1
748,0.9899,-7.6768,0.000000,1
749,1.0153,2.5802,0.000000,1
750,0.9633,7.5734,0.000000,2
751,0.9500,18.8838,0.000000,2
752,0.9500,18.0772,0.000000,2
753,0.9500,16.7979,0.000000,2
754,0.9500,7.6780,0.000000,2
755,0.9958,4.4470,0.000000,1
757,0.9795,-13.1174,0.000000,1
759,0.9981,2.8501,0.000000,1
760,0.9907,-9.5265,0.000000,1
761,1.0500,-10.8756,0.000000,1
762,0.9944,-13.6475,0.000000,1
763,0.9838,-10.2898,0.000000,1
764,1.0387,-12.4284,0.000000,1
766,0.9881,-10.1782,0.000000,1
767,0.9940,-14.1066,0.000000,1
768,1.0487,-11.5833,0.000000,1
769,1.0399,-12.3308,0.000000,1
770,0.9866,-14.9282,0.000000,1
772,1.0246,-12.1792,0.000000,1
773,1.0057,-13.3398,0.000000,1
775,1.0154,-12.5898,0.000000,1
776,1.0136,-12.6393,0.000000,1
777,0.9885,-13.8269,0.000000,1
778,0.9605,-15.8239,0.000000,1
779,0.9851,-15.1132,0.000000,1
780,1.0436,-12.1543,0.000000,1
781,1.0112,-17.7916,0.000000,1
782,0.9764,0.2076,0.000000,1
783,0.9921,-6.1255,0.000000,1
784,1.0084,2.5286,0.000000,1
785,0.9833,1.3573,0.000000,1
786,1.0050,-13.3862,0.000000,1
787,0.9663,-26.2757,0.000000,1
788,0.9572,-29.3012,0.000000,1
789,0.9602,-33.8504,0.000000,1
790,0.9946,-3.6850,0.000000,1
791,0.9667,-14.3481,0.000000,1
792,1.0369,-9.0048,0.000000,1
793,0.9500,-16.8662,0.000000,1
794,0.9953,-8.5104,0.000000,1
795,1.0036,-6.3476,0.000000,1
796,0.9977,-9.1004,0.000000,1
797,1.0006,-7.6585,0.000000,1
798,0.9689,-13.7737,0.000000,1
800,0.9523,14.9079,0.000000,2
801,0.9794,6.5825,0.000000,2
802,0.9902,-11.7903,0.000000,2
803,0.9902,-11.7903,0.000000,2
804,0.9007,0.2572,0.000000,2
805,0.9480,-8.0119,0.000000,2
806,0.9371,18.8110,0.000000,2
807,1.0049,11.9521,0.000000,1
808,0.9472,21.0755,0.000000,2
809,0.9673,13.3433,0.000000,2
810,0.9617,18.5360,0.000000,2
811,0.9952,10.6305,0.000000,2
812,0.9690,-6.8392,0.000000,1
813,1.0150,-11.7903,0.000000,1
814,1.0086,-10.6178,0.000000,1
815,1.0099,-12.0604,0.000000,1
816,1.0075,-11.6280,0.000000,1
817,0.9887,-8.0119,0.000000,1
818,1.0158,-12.3497,0.000000,1
819,1.0034,-11.9262,0.000000,1
820,1.0158,-12.6395,0.000000,1
821,1.0166,-11.6517,0.000000,1
823,0.9974,4.3553,0.000000,1
824,1.0029,6.5825,0.000000,1
825,0.9899,5.3534,0.000000,1
826,0.9826,-6.6473,0.000000,1
827,1.0067,-7.8133,0.000000,1
828,0.9872,-2.7993,0.000000,1
829,1.0214,-7.6552,0.000000,1
830,1.0016,-8.9192,0.000000,1
831,1.0185,-8.2840,0.000000,1
832,0.9774,-6.2450,0.000000,1
833,0.9966,-9.2833,0.000000,1
834,1.0147,-7.4048,0.000000,1
835,0.9844,3.1598,0.000000,1
836,0.9830,-0.7441,0.000000,1
837,0.9873,3.3830,0.000000,1
838,0.9611,-2.3248,0.000000,1
839,1.0254,8.8139,0.000000,1
840,1.0277,5.2479,0.000000,1
841,1.0015,2.1437,0.000000,1
842,1.0028,7.8758,0.000000,1
843,0.9920,2.6811,0.000000,1
844,0.9719,0.2317,0.000000,1
845,0.9984,7.0964,0.000000,1
847,0.9988,2.3330,0.000000,1
848,1.0363,10.6807,0.000000,1
849,0.9582,-1.7280,0.000000,1
850,1.0023,1.6202,0.000000,1
