ID_Barra,Tipo_Barra,Tensao_Base_kV,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Corte_Ativo_DERA_pu,Corte_Reativo_DERA_pu
5378,1,230.0,1.0499276264048598,-7.987901666641217,0.0,0.0,2.092,-0.14,0.0,3.2822607761450815e-8,-8.18181030325273e-9,5.475398864509477e-10
5380,1,500.0,1.0809297220978062,-1.424418308731962,0.0,0.0,12.24,-3.0,0.0,-3.2631128074151543e-9,-9.09090785711636e-9,2.228163690469696e-9
5381,1,230.0,1.0322260871950288,-2.8369900300443915,0.0,0.0,0.0,0.0,0.0,-2.016902505249258e-9,0.0,0.0
5383,1,69.0,1.0047015181248355,-4.351497294204869,0.0,0.0,1.8689999999999998,0.953,0.0,-2.0816917434383842e-9,-8.181818037806313e-9,-4.171895446778715e-9
5386,1,991.0,1.0091593642717267,-7.505138743723761,0.0,0.0,0.0,0.0,0.0,-1.580638314388948e-9,0.0,0.0
5387,1,991.0,1.0100888839708635,-7.510199267084696,0.0,0.0,0.0,0.0,0.0,-1.5683417097923195e-9,0.0,0.0
5388,1,13.8,1.0100888844138731,-7.5101992680727685,0.0,0.0,0.0,0.0,0.0,-1.5751865232068802e-9,0.0,0.0
5394,1,138.0,1.0178536857646843,12.675286770460932,0.0,0.0,0.0,0.0,0.0,3.768464903709738e-9,0.0,0.0
5407,1,13.8,1.033908640874442,9.692125289542085,0.0,0.0,0.0,0.0,0.0,2.4380826651855326e-9,0.0,0.0
5408,1,500.0,1.0807523764349447,-1.3876980768354368,0.0,0.0,0.0,0.0,0.0,-3.2745812690521355e-9,0.0,0.0
5409,1,13.8,0.975046833149858,-2.1126971882569405,0.0,0.0,0.0,0.0,0.0,-3.9050831520944016e-9,0.0,0.0
5410,1,991.0,1.0150611961859837,-0.31587626850667266,0.0,0.0,0.0,0.0,0.0,-2.2450648795238984e-8,0.0,0.0
5411,1,230.0,1.0277284455279636,-0.31587626850667266,0.0,0.0,-0.233,0.01135,0.0,-3.35291977044454e-9,0.0,0.0
5412,1,13.8,1.000641704810286,-2.1126971882569405,0.0,0.0,0.0,0.0,0.0,-3.5884755291688334e-9,0.0,0.0
5413,1,69.0,1.0117724289574759,-2.0277701941590687,0.0,0.0,0.8619999999999999,0.35700000000000004,0.0,-3.459663581959576e-9,-8.181813278005575e-9,-3.388523596575396e-9
5414,1,13.8,1.0056709195040023,-2.111669758558853,0.0,0.0,0.0,0.0,0.0,-3.501205338197835e-9,0.0,0.0
5415,1,13.8,0.9926598605838001,-2.111669758558853,0.0,0.0,0.0,0.0,0.0,-3.589738615492348e-9,0.0,0.0
5416,1,13.8,1.0028572956100106,-4.230760672461565,0.0,0.0,0.10300000000000001,0.057999999999999996,0.0,-3.347564811125011e-9,-9.089677219661109e-10,-5.118459016896546e-10
5417,1,13.8,1.0158439887870732,-4.095043292108175,0.0,0.0,0.0,0.0,0.0,-3.3410022037688952e-9,0.0,0.0
5418,1,991.0,1.0114793043547552,-2.1126971882569405,0.0,0.0,0.0,0.0,0.0,-3.456507266216223e-9,0.0,0.0
5419,1,991.0,1.0111405204601827,-2.111669758558853,0.0,0.0,0.0,0.0,0.0,-3.462049805255485e-9,0.0,0.0
5421,1,230.0,1.0391290419126722,4.795301876682995,0.0,0.0,0.0,0.0,0.0,-4.642208278799206e-9,0.0,0.0
5422,1,13.8,1.0258971189720174,1.6087668345797543,0.0,0.0,0.142,0.028999999999999998,0.0,-4.228756598923728e-9,-9.090855862542472e-10,-1.8565832395333217e-10
5423,1,69.0,1.017337629623156,2.8036340498675156,0.0,0.0,0.784,0.217,0.0,-4.7025587417560235e-9,-8.18181792896229e-9,-2.2646103196234912e-9
5424,1,13.8,1.006470082146377,0.9746964394049926,0.0,0.0,0.0,0.0,0.0,-4.385247805976892e-9,0.0,0.0
