ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
3004,0.6229098997720659,-38.80481833324336,0.0,0.0,0.0,0.0,-0.3881137440475849,0.0,0.012850118677777815
5424,0.5054017222930501,-44.851298119327915,0.0,0.0,0.0,0.0,0.0,0.038960299843744106,0.03603787912402238
1416,0.6114753885419238,-67.51153517629821,0.0,0.0,0.0,0.0,0.0,-0.030471920683279148,0.04299202253524877
44139,0.6808076391164478,-28.913502679253234,0.0,0.0,0.0,0.0,0.0,-0.013460411122517925,-0.005553841589255177
5923,0.6295227292220981,-35.33445877083557,0.0,0.0,0.0,0.0,0.0,-0.02309359236219518,0.014596572198217618
4491,0.6986516458506785,-14.617948096364248,0.0,0.0,0.0,0.0,0.0,-0.08874247261744855,-0.28804932092498553
8332,0.6938857772268479,-14.250468644382554,0.0,0.0,0.273,0.016,0.0,0.0031198448494915497,0.05735504229150055
8870,0.5374929734074363,-17.26718182745724,0.09,0.017577958241321856,0.0,0.0,-0.46529911410565306,0.0,-0.04761296564193312
48164,0.6182625597216792,-29.833935752265837,0.0,0.0,0.0,0.0,0.0,-0.005821822722059858,-0.01175592842018389
7956,0.6264570829137197,-28.680771012351233,0.0,0.0,0.0,0.0,0.0,-0.000821260829693809,-0.0025339651872108627
11678,0.6575016196069791,-16.96254473699825,0.0,0.0,0.0,0.0,0.0,0.007966495603270618,-0.009781288499933342
48290,0.6385822925796268,-16.100860698478876,0.0,0.0,0.001,0.031,0.0,-0.000261618882497336,-0.0030415664563377734
2258,0.5339399124614129,-43.63376818153105,0.0,0.0,0.10800000000000001,0.038,0.0,-0.006032681277515998,0.03957978147118567
43403,0.6682004559151966,-49.65831338844939,0.0,0.0,0.0,0.0,0.0,-0.021947798787583215,0.008269846584351216
5407,0.5970075186011167,-44.609418980181125,0.0,0.0,0.0,0.0,0.0,-0.008176803290364262,0.004841000685306156
